instant,season,mnth,hr,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,1,1,0,6,1,0.2151113796169455,0.2879,0.81,0.0,3,13,1.3437034446606386
2,1,1,1,6,1,0.1988508587451652,0.2727,0.8,0.0,8,32,1.5504460211620947
3,1,1,2,6,1,0.1988508587451652,0.2727,0.8,0.0,5,27,1.503300998004841
4,1,1,3,6,1,0.2151113796169455,0.2879,0.75,0.0,3,10,1.2917246727283112
5,1,1,4,6,1,0.2151113796169455,0.2879,0.75,0.0,0,1,0.5265890341390445
6,1,1,5,6,2,0.2151113796169455,0.2576,0.75,0.0896,0,1,0.5265890341390445
7,1,1,6,6,1,0.1988508587451652,0.2727,0.8,0.0,2,0,0.7412763113750153
8,1,1,7,6,1,0.18232155679395465,0.2576,0.86,0.0,1,2,0.8697416861919438
9,1,1,8,6,1,0.2151113796169455,,0.75,0.0,1,7,1.1622831138840004
10,1,1,9,6,1,0.2776317365982795,0.3485,0.76,0.0,8,6,1.3105061862047918
11,1,1,10,6,1,0.3220834991691133,0.3939,0.76,0.2537,12,24,1.5284269505599697
12,1,1,11,6,1,0.3074846997479606,0.3333,0.81,0.2836,26,30,1.6180113091810355
13,1,1,12,6,1,0.3506568716131694,0.4242,0.77,0.2836,29,55,1.6942663054703442
14,1,1,13,6,2,0.3784364357202451,0.4545,0.72,0.2985,47,47,1.7144962229206409
15,1,1,14,6,2,0.3784364357202451,0.4545,0.72,0.2836,35,71,1.7356879059276584
16,1,1,15,6,2,0.3646431135879093,0.4394,0.77,0.2985,40,70,1.742136743805324
17,1,1,16,6,2,0.3506568716131694,0.4242,0.82,0.2985,41,52,1.712589050021264
18,1,1,17,6,2,0.3646431135879093,,0.82,0.2836,15,52,1.6524030880939045
19,1,1,18,6,3,0.3506568716131694,0.4242,0.88,0.2537,9,26,1.5224670302876946
20,1,1,19,6,3,0.3506568716131694,0.4242,0.88,0.2537,6,31,1.5341940066777084
21,1,1,20,6,2,0.33647223662121295,0.4091,0.87,0.2537,11,25,1.5284269505599697
22,1,1,21,6,2,0.33647223662121295,0.4091,0.87,0.194,3,31,1.5163019408528369
23,1,1,22,6,2,0.33647223662121295,0.4091,0.94,0.2239,11,17,1.4741440143630178
24,1,1,23,6,2,0.3784364357202451,,0.88,0.2985,15,24,1.5451936315479267
25,1,1,0,0,2,0.3784364357202451,0.4545,0.88,0.2985,4,13,1.358504720646626
26,1,1,1,0,2,0.3646431135879093,0.4394,0.94,0.2537,1,16,1.358504720646626
27,1,1,2,0,2,0.3506568716131694,0.4242,1.0,0.2836,1,8,1.1947055233182955
28,1,1,3,0,2,0.3784364357202451,0.4545,0.94,0.194,2,4,1.0804178182729878
29,1,1,4,0,2,0.3784364357202451,,0.94,0.194,2,1,0.8697416861919438
30,1,1,6,0,3,0.3506568716131694,0.4242,0.77,0.2985,0,2,0.7412763113750153
31,1,1,7,0,2,0.33647223662121295,0.4091,0.76,0.194,0,1,0.5265890341390445
32,1,1,8,0,3,0.33647223662121295,0.4091,0.71,0.2239,0,8,1.1622831138840004
33,1,1,9,0,2,0.3220834991691133,,0.76,0.2239,1,19,1.3973634811730353
34,1,1,10,0,2,0.3074846997479606,0.3485,0.81,0.2239,7,46,1.607232291151654
35,1,1,11,0,2,0.3074846997479606,0.3333,0.71,0.2537,16,54,1.6606403793348095
36,1,1,12,0,2,0.3074846997479606,0.3333,0.66,0.2985,20,73,1.712589050021264
37,1,1,13,0,2,0.3074846997479606,0.3485,0.66,0.1343,11,64,1.6734888160092363
38,1,1,14,0,3,0.3074846997479606,,0.76,0.194,4,55,1.6281310150671582
39,1,1,15,0,3,0.29266961396282,0.3333,0.81,0.1642,19,55,1.6710010327416251
40,1,1,16,0,3,0.29266961396282,0.3333,0.71,0.1642,9,67,1.6759380249901916
41,1,1,17,0,1,0.29266961396282,0.3333,0.57,0.194,7,58,1.6466671712706678
42,1,1,18,0,2,0.3074846997479606,0.3333,0.46,0.3284,10,43,1.607232291151654
43,1,1,19,0,1,0.2776317365982795,0.2879,0.42,0.4478,1,29,1.4892992254175486
44,1,1,20,0,1,0.262364264467491,,0.39,0.3582,5,17,1.4196068415100236
45,1,1,21,0,1,0.23111172096338664,0.2273,0.44,0.3284,11,20,1.496434016604423
46,1,1,22,0,1,0.2151113796169455,0.2121,0.44,0.2985,0,9,1.1947055233182955
47,1,1,23,0,1,0.1988508587451652,0.2273,0.47,0.1642,0,8,1.1622831138840004
48,1,1,0,1,1,0.1988508587451652,0.197,0.44,0.3582,0,5,1.026672031199051
49,1,1,1,1,1,0.18232155679395465,,0.44,0.4179,0,2,0.7412763113750153
50,1,1,4,1,1,0.1484200051182733,0.1364,0.47,0.3881,0,1,0.5265890341390445
51,1,1,5,1,1,0.1484200051182733,0.1364,0.47,0.2836,0,3,0.8697416861919438
52,1,1,6,1,1,0.13102826240640408,0.1061,0.5,0.3881,0,30,1.4892992254175486
